grid,forward_expanded,backward_expanded
0,1222,40394
1,1984,100191
2,202,60195
3,12414,40197
4,12891,120378
5,7705,20199
6,8612,90192
7,13929,40197
8,16406,30198
9,10628,20398
10,9957,60195
11,19721,20199
12,202,70194
13,202,70194
14,9792,40197
15,9690,20199
16,9868,30198
17,204,501
18,1602,20398
19,11419,60195
20,3359,20199
21,609,30198
22,1009,30198
23,1407,20199
24,10112,20199
25,17493,20199
26,8976,170184
27,201,2010000
28,17723,40197
29,202,20199
30,18507,70194
31,201,2010000
32,1794,100191
33,9243,20496
34,607,30198
35,10644,30198
36,19583,30198
37,7453,70194
38,11303,20398
39,10162,50196
40,8835,40197
41,7531,20199
42,408,30396
43,807,30198
44,202,50196
45,609,140374
46,9045,80386
47,19639,110190
48,11151,40197
49,201,2010000
