grid,large_g_expanded,small_g_expanded
0,9027,218815
1,12326,360658
2,16758,195902
3,203,10203
4,19342,213592
5,18668,283298
6,9169,283033
7,10009,337487
8,1010,48839
9,9755,348175
10,22595,346623
11,608,30012
12,12433,295740
13,9165,262821
14,17339,237002
15,22460,282642
16,20086,351638
17,202,10202
18,609,29915
19,7366,189893
20,20529,304369
21,20707,278171
22,19722,313884
23,9039,270283
24,21521,346390
25,20930,291211
26,13677,454529
27,202,10202
28,1814,85631
29,1019,48453
30,810,39518
31,7846,254643
32,13367,456124
33,6731,201375
34,6924,142969
35,10025,334671
36,202,10202
37,1019,48857
38,407,20207
39,18765,259619
40,1211,58641
41,1202,59702
42,606,29716
43,13944,365496
44,19020,253839
45,7755,220328
46,11145,262920
47,17380,193685
48,8226,291037
49,18011,196281
