grid,forward_expanded,adaptive_expanded
0,3,3
1,7076,6979
2,11822,11545
3,0,0
4,7615,7300
5,9552,9414
6,7590,7510
7,0,0
8,11836,11601
9,7840,7860
10,6,6
11,12399,12222
12,11523,11350
13,7856,7676
14,7949,7827
15,7500,7395
16,6,6
17,7305,7144
18,2,2
19,12967,12258
20,17,17
21,11663,11510
22,11422,11337
23,4,4
24,10683,10355
25,0,0
26,9577,9650
27,9454,9559
28,7903,7818
29,7299,6948
30,10893,10803
31,8216,8214
32,13,13
33,7406,7347
34,0,0
35,6593,6574
36,9120,9058
37,8921,8889
38,8941,8594
39,9089,8848
40,8281,8340
41,18,18
42,5,5
43,9019,8886
44,9154,9102
45,9394,9371
46,10166,10112
47,9858,9557
48,10651,10601
49,8407,8360
