grid,forward_expanded,backward_expanded
0,406,20198
1,17701,30198
2,22697,20199
3,202,10398
4,8274,140186
5,9552,30198
6,19084,50194
7,202,40197
8,23917,40196
9,8185,40196
10,817,110190
11,12821,20197
12,12175,60194
13,8260,40196
14,8294,120378
15,8131,30195
16,801,60194
17,17849,30197
18,406,40197
19,12967,20199
20,3102,20398
21,11663,30396
22,11558,20197
23,811,50196
24,10683,30197
25,202,80193
26,9577,30197
27,9937,30195
28,17852,600
29,18576,50196
30,10893,100380
31,18496,403
32,2403,20199
33,7406,30197
34,202,100191
35,17423,20496
36,21004,220179
37,8921,20199
38,10389,130187
39,9089,20199
40,9950,20198
41,3400,60192
42,804,40196
43,9716,100189
44,9330,70193
45,9394,30197
46,20988,80192
47,9881,30196
48,21211,30197
49,18802,20199
