grid,large_g_expanded,small_g_expanded
0,3,3
1,7076,202292
2,11822,336781
3,0,0
4,7615,149684
5,9552,221437
6,7590,220185
7,0,0
8,11836,379505
9,7840,231360
10,6,12
11,12399,394253
12,11523,357086
13,7856,163157
14,7949,203885
15,7500,202792
16,6,12
17,7305,163736
18,2,2
19,12967,330078
20,17,80
21,11663,382572
22,11422,383057
23,4,4
24,10683,266679
25,0,0
26,9577,311897
27,9454,276237
28,7903,202983
29,7299,129119
30,10893,343510
31,8216,281453
32,13,33
33,7406,223958
34,0,0
35,6593,165970
36,9120,298788
37,8921,275875
38,8941,271087
39,9089,196726
40,8281,196969
41,18,60
42,5,5
43,9019,241640
44,9154,289413
45,9394,308034
46,10166,318079
47,9858,304467
48,10651,361783
49,8407,247077
